vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.4473,0.084,0.063,0.853,True,Business,Economy Class,411,0
-0.8979,0.011,0.075,0.914,True,Family Leisure,Economy Class,1049,0
-0.9486,0.0,0.226,0.774,True,Couple Leisure,Economy Class,411,0
-0.775,0.026,0.062,0.912,True,Solo Leisure,Economy Class,935,0
-0.9532,0.029,0.069,0.902,False,Couple Leisure,Economy Class,2959,0
0.9901,0.254,0.009,0.737,True,Solo Leisure,Business Class,666,1
-0.3635,0.082,0.094,0.824,True,Solo Leisure,Economy Class,194,0
0.9864,0.267,0.064,0.669,True,Solo Leisure,Premium Economy,699,1
-0.9714,0.058,0.174,0.768,True,Business,Economy Class,966,0
-0.7711,0.012,0.061,0.927,True,Solo Leisure,Economy Class,758,0
0.9396,0.164,0.018,0.818,True,Family Leisure,Economy Class,515,1
-0.6858,0.038,0.075,0.888,True,Couple Leisure,Economy Class,869,0
-0.2845,0.038,0.053,0.909,True,Solo Leisure,Economy Class,1094,0
0.0387,0.019,0.027,0.954,False,Business,Business Class,606,0
0.9802,0.373,0.0,0.627,True,Solo Leisure,Economy Class,329,1
-0.6229,0.0,0.045,0.955,True,Solo Leisure,Economy Class,537,0
0.7003,0.162,0.0,0.838,True,Solo Leisure,Business Class,182,0
-0.8488,0.0,0.231,0.769,True,Solo Leisure,Economy Class,184,0
0.9658,0.324,0.06,0.616,True,Solo Leisure,Economy Class,341,1
0.9882,0.175,0.007,0.818,True,Solo Leisure,Economy Class,1222,1
0.9432,0.161,0.059,0.78,True,Solo Leisure,Economy Class,699,1
0.9449,0.215,0.042,0.743,True,Family Leisure,Economy Class,443,1
-0.9191,0.072,0.202,0.726,True,Family Leisure,Economy Class,495,0
0.1773,0.128,0.123,0.749,True,Solo Leisure,Economy Class,696,1
0.6409,0.069,0.05,0.881,True,Solo Leisure,Economy Class,797,0
-0.4215,0.077,0.103,0.82,True,Solo Leisure,Economy Class,684,0
0.0,0.0,0.0,1.0,True,Solo Leisure,Economy Class,275,0
-0.63,0.038,0.073,0.889,True,Solo Leisure,Economy Class,420,0
0.743,0.152,0.074,0.774,True,Solo Leisure,Economy Class,388,1
-0.7003,0.033,0.059,0.908,True,Couple Leisure,Economy Class,1232,0
-0.4792,0.026,0.066,0.908,True,Solo Leisure,Economy Class,641,0
0.9397,0.149,0.008,0.843,True,Solo Leisure,Economy Class,636,1
0.9913,0.253,0.01,0.736,True,Solo Leisure,Economy Class,846,1
0.759,0.069,0.05,0.881,True,Family Leisure,Economy Class,1999,0
0.555,0.12,0.066,0.813,True,Solo Leisure,Economy Class,448,1
0.9571,0.423,0.0,0.577,True,Solo Leisure,Economy Class,164,1
-0.8198,0.066,0.112,0.821,True,Solo Leisure,Economy Class,1278,0
-0.6668,0.02,0.072,0.908,True,Family Leisure,Economy Class,687,0
