vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
-0.9401,0.039,0.111,0.85,False,Couple Leisure,Economy Class,1032,246,2022-12-13,2022-12-01,0
-0.3612,0.035,0.097,0.867,True,Solo Leisure,Economy Class,516,247,2022-12-12,2022-12-01,0
-0.7506,0.0,0.163,0.837,True,Solo Leisure,Economy Class,180,248,2022-12-01,2022-12-01,0
-0.9825,0.047,0.171,0.782,False,Family Leisure,Economy Class,1206,249,2022-11-13,2022-11-01,0
-0.8807,0.0,0.13,0.87,False,Solo Leisure,Economy Class,472,250,2022-11-07,2022-09-01,0
-0.9357,0.054,0.217,0.729,True,Couple Leisure,Economy Class,467,251,2022-11-06,2022-07-01,0
-0.906,0.036,0.263,0.701,True,Family Leisure,Economy Class,215,252,2022-11-04,2022-11-01,0
-0.9412,0.046,0.126,0.829,False,Couple Leisure,Economy Class,1056,253,2022-10-29,2022-07-01,0
-0.5299,0.046,0.064,0.89,True,Family Leisure,Economy Class,1672,254,2022-10-18,2022-06-01,0
-0.9468,0.0,0.401,0.599,True,Solo Leisure,Economy Class,152,255,2022-10-13,2022-10-01,0
0.0258,0.097,0.082,0.821,False,Solo Leisure,Economy Class,338,256,2022-10-13,2022-10-01,0
-0.4573,0.073,0.086,0.841,True,Couple Leisure,Economy Class,749,257,2022-10-12,2022-10-01,0
-0.9409,0.028,0.155,0.817,False,Couple Leisure,Economy Class,781,258,2022-10-08,2022-10-01,0
-0.34,0.034,0.057,0.91,False,Business,Business Class,709,259,2022-09-27,2022-07-01,0
0.2836,0.059,0.065,0.876,True,Solo Leisure,Economy Class,607,260,2022-09-27,2022-09-01,0
0.9072,0.104,0.021,0.876,False,Solo Leisure,Economy Class,557,261,2022-09-25,2022-09-01,0
-0.8126,0.072,0.149,0.78,True,Solo Leisure,Economy Class,469,262,2022-09-21,2022-06-01,0
-0.8988,0.024,0.18,0.796,False,Couple Leisure,Economy Class,397,263,2022-09-18,2022-09-01,0
-0.9714,0.013,0.19,0.797,True,Solo Leisure,Economy Class,642,264,2022-09-15,2022-09-01,0
0.9715,0.144,0.055,0.802,True,Couple Leisure,Economy Class,1309,265,2022-09-15,2022-07-01,0
-0.8198,0.0,0.184,0.816,False,Family Leisure,Economy Class,180,266,2022-09-15,2022-09-01,0
