vader_compound,vader_pos,vader_neg,vader_neu,aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
-0.2748,0.049,0.07,0.88,,-0.2748,,-0.2748,,1,0,1,0,1,True,Business,Economy Class,450,0
0.9719,0.245,0.0,0.755,,,0.9719,0.9719,,1,1,0,0,1,False,Solo Leisure,Business Class,495,1
0.8567,0.101,0.015,0.885,,0.891,0.891,,,1,0,0,1,1,False,Family Leisure,Economy Class,495,1
-0.9821,0.036,0.125,0.839,-0.872,-0.872,-0.872,-0.872,-0.872,0,0,0,0,0,False,Couple Leisure,Economy Class,1596,0
-0.0516,0.05,0.03,0.921,0.6369,,0.6369,,0.6369,0,1,0,1,0,True,Couple Leisure,Economy Class,698,0
0.9603,0.392,0.0,0.608,,,0.9531,,,1,1,0,1,1,True,Couple Leisure,Economy Class,183,1
-0.9013,0.0,0.134,0.866,,,,-0.7906,,1,1,1,0,1,False,Couple Leisure,Economy Class,505,0
0.1406,0.048,0.024,0.928,,,0.2732,0.2732,,1,1,0,0,1,False,Solo Leisure,Economy Class,347,0
-0.9835,0.0,0.232,0.768,,,,-0.9643,,1,1,1,0,1,False,Couple Leisure,Economy Class,591,0
-0.7783,0.015,0.063,0.922,,,,-0.6808,,1,1,1,0,1,False,Family Leisure,Economy Class,961,0
-0.9653,0.046,0.16,0.794,-0.9595,,-0.9595,-0.9595,-0.9595,0,1,0,0,0,False,Couple Leisure,Economy Class,754,0
-0.7469,0.057,0.11,0.834,,,,-0.9183,,1,1,1,0,1,False,Family Leisure,Economy Class,437,0
-0.7264,0.08,0.11,0.81,,,,,,1,1,1,1,1,True,Family Leisure,Economy Class,475,0
-0.4234,0.077,0.109,0.814,,,,,,1,1,1,1,1,True,Family Leisure,Economy Class,354,0
-0.8442,0.019,0.083,0.898,,,-0.8442,-0.8442,,1,1,0,0,1,False,Couple Leisure,Economy Class,706,0
0.9756,0.384,0.0,0.616,0.9186,,0.9186,0.9186,,0,1,0,0,1,True,Family Leisure,Economy Class,295,1
0.4939,0.082,0.065,0.853,,,0.7266,0.7266,,1,1,0,0,1,False,Couple Leisure,Economy Class,549,0
-0.7263,0.0,0.076,0.924,,,-0.7003,-0.7003,,1,1,0,0,1,True,Couple Leisure,Economy Class,440,0
-0.9765,0.053,0.193,0.754,,,-0.9665,-0.9665,,1,1,0,0,1,True,Solo Leisure,Economy Class,862,0
-0.871,0.134,0.209,0.657,-0.6164,,-0.6164,-0.6164,,0,1,0,0,1,False,Couple Leisure,Economy Class,511,0
0.9751,0.118,0.045,0.837,0.9763,0.9763,0.9763,0.9763,0.9763,0,0,0,0,0,True,Couple Leisure,Business Class,1553,1
-0.8136,0.019,0.04,0.941,,-0.7675,,-0.7675,-0.7675,1,0,1,0,0,True,Family Leisure,Economy Class,1880,0
-0.9948,0.025,0.206,0.769,,-0.9274,-0.9274,-0.9274,,1,0,0,0,1,False,Business,Economy Class,1306,0
-0.8326,0.013,0.076,0.91,,,,-0.8442,,1,1,1,0,1,False,Family Leisure,Economy Class,725,0
-0.9692,0.072,0.184,0.743,-0.9574,-0.9574,-0.9574,,,0,0,0,1,1,True,Business,Business Class,896,0
0.8326,0.085,0.074,0.841,0.8126,,0.8126,0.8126,,0,1,0,0,1,True,Solo Leisure,Economy Class,1361,1
-0.9636,0.024,0.127,0.848,,,-0.9685,,,1,1,0,1,1,True,Business,Business Class,897,0
